Date,Open,High,Low,Close,Adj Close,Volume
11/19/2020,6.329999924,6.610000134,6.150000095,6.400000095,6.400000095,307000
11/20/2020,6.610000134,6.650000095,6.230000019,6.230000019,6.230000019,652700
11/23/2020,6.5,7.230000019,6.329999924,7.119999886,7.119999886,859400
11/24/2020,7.260000229,7.5,6.369999886,6.409999847,6.409999847,845300
11/25/2020,6.75,6.75,6.110000134,6.320000172,6.320000172,824500
11/26/2020,6,6.199999809,5.650000095,6.059999943,6.059999943,646100
11/27/2020,6.099999905,6.21999979,5.610000134,5.949999809,5.949999809,649800
11/30/2020,6.369999886,6.75,6.269999981,6.440000057,6.440000057,677400
12/1/2020,6.440000057,6.650000095,6,6.380000114,6.380000114,420500
12/2/2020,6.449999809,6.449999809,6.059999943,6.210000038,6.210000038,392700
12/3/2020,6.170000076,6.329999924,6.079999924,6.099999905,6.099999905,337400
12/4/2020,6.050000191,6.090000153,5.809999943,6.010000229,6.010000229,275200
12/7/2020,6.090000153,6.28000021,5.849999905,6,6,193300
12/8/2020,6.010000229,6.019999981,5.829999924,5.929999828,5.929999828,195000
12/9/2020,5.989999771,5.989999771,5.400000095,5.510000229,5.510000229,347100
12/10/2020,5.420000076,6.199999809,5.289999962,6.170000076,6.170000076,349500
12/11/2020,6.039999962,6.150000095,5.559999943,6,6,256800
12/14/2020,6.230000019,6.590000153,6.039999962,6.460000038,6.460000038,508100
12/15/2020,6.510000229,6.840000153,6.5,6.809999943,6.809999943,448800
12/16/2020,7.21999979,7.21999979,6.329999924,6.510000229,6.510000229,1008900
12/17/2020,6.949999809,7.989999771,6.760000229,7.670000076,7.670000076,1284900
12/18/2020,7.869999886,8.050000191,7.340000153,8.020000458,8.020000458,648100
12/21/2020,7.75,9,7.75,8.899999619,8.899999619,919500
12/22/2020,9.130000114,10.06999969,8.93999958,10,10,949400
12/23/2020,9.920000076,10.09000015,9.159999847,9.159999847,9.159999847,616000
12/24/2020,9.100000381,9.449999809,8.670000076,9.289999962,9.289999962,368300
12/29/2020,10.80000019,10.80000019,9.510000229,10.10000038,10.10000038,729600
12/30/2020,10.22000027,11.67000008,10.19999981,11.60000038,11.60000038,639400
12/31/2020,11.5,11.56999969,10.75,10.89999962,10.89999962,638600
1/4/2021,12.18000031,12.48999977,10.96000004,11.14999962,11.14999962,1090800
1/5/2021,11.31999969,12.44999981,11.18999958,12,12,792700
1/6/2021,12.5,12.76000023,12.10999966,12.32999992,12.32999992,796000
1/7/2021,12.92000008,13.11999989,11.44999981,11.80000019,11.80000019,1189300
1/8/2021,12.22000027,12.23999977,10.35999966,11.05000019,11.05000019,1049600
1/11/2021,9.06000042,10.44999981,8.869999886,9.779999733,9.779999733,1171100
1/12/2021,9.960000038,10.43000031,9.460000038,9.970000267,9.970000267,673700
1/13/2021,10,10.19999981,9.5,9.779999733,9.779999733,420800
1/14/2021,10.13000011,11.5,10.01000023,10.68000031,10.68000031,868500
1/15/2021,10.52999973,11.05000019,10.01000023,10.46000004,10.46000004,439100
1/18/2021,10.47000027,10.55000019,9.930000305,9.960000038,9.960000038,280400
1/19/2021,10.36999989,10.73999977,10.22999954,10.40999985,10.40999985,326300
1/20/2021,10.30000019,10.39000034,9.470000267,9.880000114,9.880000114,543400
1/21/2021,9.550000191,9.550000191,8.56000042,9.140000343,9.140000343,573100
1/22/2021,9,9.909999847,8.989999771,9.590000153,9.590000153,365400
1/25/2021,10,10.25,9.109999657,9.220000267,9.220000267,283300
1/26/2021,9.090000153,9.220000267,8.93999958,9.069999695,9.069999695,211700
1/27/2021,8.670000076,8.909999847,7.900000095,8.449999809,8.449999809,439900
1/28/2021,8.600000381,9.600000381,8.56000042,9.31000042,9.31000042,331900
1/29/2021,10.14999962,10.60999966,8.829999924,9.18999958,9.18999958,605700
2/1/2021,9.300000191,9.960000038,8.960000038,9.630000114,9.630000114,304400
2/2/2021,9.989999771,10.86999989,9.649999619,10.55000019,10.55000019,503900
2/3/2021,10.69999981,11.47000027,10.60999966,10.64000034,10.64000034,430100
2/4/2021,11,11,10.10000038,11,11,443900
2/5/2021,11.11999989,13.71000004,11,13.42000008,13.42000008,1246400
2/8/2021,15.28999996,16.60000038,14.65999985,14.94999981,14.94999981,1121300
2/9/2021,15.85000038,16.39999962,15.35000038,16,16,981500
2/10/2021,16.44000053,16.69000053,14,15.73999977,15.73999977,805900
2/11/2021,16.46999931,18.75,16.25,18.22999954,18.22999954,837100
2/12/2021,18.5,19.92000008,18.47999954,18.97999954,18.97999954,996300
2/16/2021,19.89999962,20,16.71999931,16.93000031,16.93000031,1368400
2/17/2021,18.25,18.78000069,16.44000053,17.02000046,17.02000046,929700
2/18/2021,17.13999939,17.20000076,16,16.47999954,16.47999954,497300
2/19/2021,16.87999916,17.95999908,16.01000023,16.12000084,16.12000084,845300
2/22/2021,15.71000004,18.61000061,15.10999966,17.54000092,17.54000092,1001500
2/23/2021,14.27000046,17.45000076,13.02000046,16.13999939,16.13999939,1042200
2/24/2021,16.95999908,17.20000076,16.17000008,17.12000084,17.12000084,617300
2/25/2021,17.93000031,19.39999962,17.10000038,17.55999947,17.55999947,970600
2/26/2021,17.5,18.04999924,16.11000061,16.64999962,16.64999962,497000
3/1/2021,16.78000069,19.59000015,16.78000069,19.54999924,19.54999924,574500
3/2/2021,20,20.81999969,18.87000084,19.14999962,19.14999962,558900
3/3/2021,19.87999916,21.68000031,19.79000092,20.85000038,20.85000038,690800
3/4/2021,20.04999924,21.56999969,17.13999939,18.46999931,18.46999931,901700
3/5/2021,18.89999962,18.89999962,15,17.40999985,17.40999985,1173500
3/8/2021,18.37000084,19.44000053,16.62000084,17.03000069,17.03000069,895200
3/9/2021,18.89999962,18.89999962,17.03000069,17.06999969,17.06999969,493300
3/10/2021,17.69000053,18.40999985,16.68000031,18.14999962,18.14999962,612600
3/11/2021,18.5,18.5,17.36000061,18.11000061,18.11000061,582200
3/12/2021,17.54000092,18.12999916,17.21999931,17.80999947,17.80999947,237700
3/15/2021,18.29999924,18.29999924,17.12999916,17.82999992,17.82999992,478700
3/16/2021,18,19.42000008,17.61000061,18.29999924,18.29999924,550900
3/17/2021,17.78000069,23.63999939,17.78000069,23.43000031,23.43000031,1463200
3/18/2021,22.95000076,29.21999931,22.39999962,25.25,25.25,2592700
3/19/2021,27.06999969,30.14999962,26.02000046,28.09000015,28.09000015,1474200
3/22/2021,29.38999939,29.52000046,25.03000069,25.78000069,25.78000069,1119100
3/23/2021,25.21999931,25.5,19.97999954,19.97999954,19.97999954,1781200
3/24/2021,23.20000076,23.89999962,19,19.20000076,19.20000076,1492900
3/25/2021,18.14999962,21.40999985,17.67000008,20.53000069,20.53000069,1474700
3/26/2021,21.35000038,22.64999962,19.69000053,20.62000084,20.62000084,1749500
3/29/2021,21.77000046,24.05999947,21.10000038,23.81999969,23.81999969,905500
3/30/2021,25.95999908,25.96999931,23.85000038,24.60000038,24.60000038,955600
3/31/2021,24.20000076,26.05999947,24.20000076,25.56999969,25.56999969,849000
4/1/2021,26.12999916,26.47999954,24.81999969,25.18000031,25.18000031,590200
4/5/2021,25.25,30.88999939,25.15999985,29.43000031,29.43000031,1211400
4/6/2021,29.48999977,32.38000107,29.44000053,31.15999985,31.15999985,1485700
4/7/2021,30.37000084,31.80999947,25.29999924,25.29999924,25.29999924,1907400
4/8/2021,27.5,30.92000008,26.70999908,30.02000046,30.02000046,996900
4/9/2021,30.48999977,33.29999924,29.53000069,32.86000061,32.86000061,970900
4/12/2021,34,39.95999908,33.68000031,39.65000153,39.65000153,2071000
4/13/2021,42,46.43999863,40.95000076,42.63000107,42.63000107,2757400
4/14/2021,45,46.70000076,35.09000015,35.45000076,35.45000076,2778100
4/15/2021,37.40000153,38.77999878,31.5,31.5,31.5,2321800
4/16/2021,32.18000031,35.95000076,28.87999916,33.88999939,33.88999939,2007400
4/19/2021,31.42000008,35.63999939,30.54999924,34.31999969,34.31999969,967400
4/20/2021,35.63000107,37.70999908,31.13999939,37.70999908,37.70999908,1012700
4/21/2021,36,37.59000015,33.90000153,34.97000122,34.97000122,776600
4/22/2021,34.95000076,35.66999817,30.87000084,31.52000046,31.52000046,1039200
4/23/2021,29.23999977,33.47999954,28.23999977,32.70000076,32.70000076,1032900
4/26/2021,34.20000076,35.29000092,33.09999847,34.15000153,34.15000153,669300
4/27/2021,35,35.68000031,32.70000076,35.34999847,35.34999847,569300
4/28/2021,35.59999847,35.59999847,34.29999924,34.93000031,34.93000031,283300
4/29/2021,35,35.02000046,31.43000031,31.60000038,31.60000038,545000
4/30/2021,31.95999908,35.24000168,31.75,35.24000168,35.24000168,1082300
